name,latitude,longitude,pop2019,GrowthRate,area,Density
Afghanistan,33.93911,67.709953,38041.754,1.0233,652230,58.3257
Albania,41.153332,20.168331,2880.917,0.9989,28748,100.2128
Algeria,28.033886,1.659626,43053.054,1.0185,2381741,18.0763
American Samoa,-14.270972,-170.132217,55.312,0.9978,199,277.9497
Andorra,42.546245,1.601554,77.142,1.0016,468,164.8333
Angola,-11.202692,17.873887,31825.295,1.0327,1246700,25.5276
Anguilla,18.220554,-63.068615,14.869,1.009,91,163.3956
Antarctica,-75.250973,-0.071389,,,,
Antigua and Barbuda,17.060816,-61.796428,97.118,1.0084,442,219.724
Argentina,-38.416097,-63.616672,44780.677,1.0093,2780400,16.1058
Armenia,40.069099,45.038189,2957.731,1.0019,29743,99.4429
Aruba,12.52111,-69.968338,106.314,1.0043,180,590.6333
Australia,-25.274398,133.775136,25203.198,1.0118,7692024,3.2765
Austria,47.516231,14.550072,8955.102,1.0057,83871,106.7723
Azerbaijan,40.143105,47.576927,10047.718,1.0091,86600,116.0245
Bahamas,25.03428,-77.39628,389.482,1.0097,13943,27.9339
Bahrain,25.930414,50.637772,1641.172,1.0368,765,2145.3229
Bangladesh,23.684994,90.356331,163046.161,1.0101,147570,1104.8734
Barbados,13.193887,-59.543198,287.025,1.0012,430,667.5
Belarus,53.709807,27.953389,9452.411,0.9997,207600,45.5318
Belgium,50.503887,4.469936,11539.328,1.0044,30528,377.9916
Belize,17.189877,-88.49765,390.353,1.0186,22966,16.997
Benin,9.30769,2.315834,11801.151,1.0273,112622,104.7855
Bermuda,32.321384,-64.75737,62.506,0.9964,54,1157.5185
Bhutan,27.514162,90.433601,763.092,1.0112,38394,19.8753
Bolivia,-16.290154,-63.588653,11513.1,1.0139,1098581,10.48
Bosnia and Herzegovina,43.915886,17.679076,3301,0.9939,51209,64.4613
Botswana,-22.328474,24.684866,2303.697,1.0208,582000,3.9582
Bouvet Island,-54.423199,3.413194,,,,
Brazil,-14.235004,-51.92528,211049.527,1.0072,8515767,24.7834
British Indian Ocean Territory,-6.343194,71.876519,,,,
British Virgin Islands,18.420695,-64.639968,30.03,1.0067,151,198.8742
Brunei,4.535277,114.727669,433.285,1.0097,5765,75.1578
Bulgaria,42.733883,25.48583,7000.119,0.9926,110879,63.133
Burkina Faso,12.238333,-1.561593,20321.378,1.0286,272967,74.4463
Burundi,-3.373056,29.918886,11530.58,1.0312,27834,414.2624
Cambodia,12.565679,104.990963,16486.542,1.0141,181035,91.0683
Cameroon,7.369722,12.354722,25876.38,1.0259,475442,54.4259
Canada,56.130366,-106.346771,37411.047,1.0089,9984670,3.7468
Cape Verde,16.002082,-24.013197,549.935,1.011,4033,136.3588
Cayman Islands,19.513469,-80.566956,64.948,1.0119,264,246.0152
Central African Republic,6.611111,20.939444,4745.185,1.0178,622984,7.6169
Chad,15.454166,18.732207,15946.876,1.03,1284000,12.4197
Chile,-35.675147,-71.542969,18952.038,1.0087,756102,25.0655
China,35.86166,104.195397,1433783.686,1.0039,9706961,147.7068
Christmas Island,-10.447525,105.690449,,,,
Cocos [Keeling] Islands,-12.164165,96.870956,,,,
Colombia,4.570868,-74.297333,50339.443,1.0108,1141748,44.0898
Comoros,-11.875001,43.872219,850.886,1.022,1862,456.9742
Congo [DRC],-4.038333,21.758664,86790.567,1.0319,2344858,37.0131
Congo [Republic],-0.228021,15.827659,,,,
Cook Islands,-21.236736,-159.777671,17.548,1.0009,236,74.3559
Costa Rica,9.748917,-83.753428,5047.561,1.0092,51100,98.7781
